time(s),avg_energy(J/m^3),avg_photon(m^-3),avg_axion(m^-3),avg_neutrino(m^-3),avg_qgp_fraction,neutrino_mass_eV
0.000000000000000000016104000000000002,319999999999999900000000000000000000,99999998158012710000000000000000000000,100000046768260460000000000000000,99999952109302710000000000000000000,0.9999998874648379,0.785877208489073
0.000000000000000000016226000000000002,319999999999999900000000000000000000,100000000001635840000000000000000000000,100000047119903070000000000000000,99999951749220880000000000000000000,0.9999998874648379,0.785877208489073
0.000000000000000000016348000000000002,319999999999999900000000000000000000,99999998158034190000000000000000000000,100000047471542580000000000000000,99999951389141820000000000000000000,0.9999998874648379,0.785877208489073
0.000000000000000000016470000000000003,319999999999999900000000000000000000,100000000001657380000000000000000000000,100000047823185190000000000000000,99999951029060000000000000000000000,0.9999998874648379,0.785877208489073
0.000000000000000000016592000000000003,319999999999999900000000000000000000,99999998158059900000000000000000000000,100000048174824700000000000000000,99999950668980930000000000000000000,0.9999998874648379,0.785877208489073
0.000000000000000000016714,319999999999999900000000000000000000,100000000001683030000000000000000000000,100000048526467300000000000000000,99999950308899100000000000000000000,0.9999998874648379,0.785877208489073
0.000000000000000000016836,319999999999999900000000000000000000,99999998158083870000000000000000000000,100000048878106810000000000000000,99999949948820040000000000000000000,0.9999998874648379,0.785877208489073
0.000000000000000000016958,319999999999999900000000000000000000,100000000001707000000000000000000000000,100000049229749420000000000000000,99999949588738220000000000000000000,0.9999998874648379,0.785877208489073
0.00000000000000000001708,319999999999999900000000000000000000,99999998158109540000000000000000000000,100000049581388930000000000000000,99999949228659160000000000000000000,0.9999998874648379,0.785877208489073
0.000000000000000000017202,319999999999999900000000000000000000,100000000001732700000000000000000000000,100000049933031540000000000000000,99999948868577330000000000000000000,0.9999998874648379,0.785877208489073
0.000000000000000000017324,319999999999999900000000000000000000,99999998158132050000000000000000000000,100000050284671050000000000000000,99999948508498270000000000000000000,0.9999998874648379,0.785877208489073
0.000000000000000000017446,319999999999999900000000000000000000,100000000001758360000000000000000000000,100000050636313660000000000000000,99999948148416440000000000000000000,0.9999998874648379,0.785877208489073
