time(s),avg_energy(J/m^3),avg_photon(m^-3)
50.400000000000006,95075.15278614608,10000000000
50.5,95065.64527090157,10000000000
50.6,95056.13870635809,10000000000
50.7,95046.63309249043,10000000000
50.800000000000004,95037.12842917458,10000000000
50.900000000000006,95027.62471632333,10000000000
51,95018.12195385309,10000000000
51.1,95008.62014165948,10000000000
51.2,94999.11927965462,10000000000
51.300000000000004,94989.61936771935,10000000000
51.400000000000006,94980.12040579268,10000000000
51.5,94970.62239373583,10000000000
51.6,94961.12533151855,10000000000
51.7,94951.62921896967,10000000000
51.800000000000004,94942.13405605774,10000000000
51.900000000000006,94932.63984263784,10000000000
52,94923.14657866901,10000000000
52.1,94913.654264005,10000000000
52.2,94904.1628985742,10000000000
52.300000000000004,94894.67248228572,10000000000
52.400000000000006,94885.18301503042,10000000000
52.5,94875.6944967487,10000000000
52.6,94866.20692729748,10000000000
52.7,94856.72030660261,10000000000
52.800000000000004,94847.23463455864,10000000000
52.900000000000006,94837.749911102,10000000000
53,94828.26613612741,10000000000
53.1,94818.78330949342,10000000000
53.2,94809.30143117691,10000000000
53.300000000000004,94799.82050101158,10000000000
53.400000000000006,94790.34051896134,10000000000
53.5,94780.86148491885,10000000000
53.6,94771.38339877145,10000000000
53.7,94761.90626044871,10000000000
53.800000000000004,94752.4300698047,10000000000
53.900000000000006,94742.95482680015,10000000000
54,94733.48053132692,10000000000
54.1,94724.00718327363,10000000000
54.2,94714.53478253697,10000000000
54.300000000000004,94705.0633290689,10000000000
54.400000000000006,94695.59282274853,10000000000
54.5,94686.12326346825,10000000000
54.6,94676.65465113135,10000000000
54.7,94667.18698565215,10000000000
54.800000000000004,94657.72026694828,10000000000
54.900000000000006,94648.2544949373,10000000000
55,94638.78966950363,10000000000
55.1,94629.32579052431,10000000000
55.2,94619.86285793832,10000000000
55.300000000000004,94610.40087164307,10000000000
55.400000000000006,94600.93983157483,10000000000
55.5,94591.47973759777,10000000000
55.6,94582.02058959866,10000000000
55.7,94572.56238755377,10000000000
55.800000000000004,94563.10513130818,10000000000
55.900000000000006,94553.6488207922,10000000000
56,94544.19345592658,10000000000
56.1,94534.73903656266,10000000000
56.2,94525.28556266674,10000000000
56.300000000000004,94515.83303412338,10000000000
56.400000000000006,94506.38145080602,10000000000
56.5,94496.93081267615,10000000000
56.6,94487.48111959253,10000000000
56.7,94478.03237148079,10000000000
56.800000000000004,94468.58456825164,10000000000
56.900000000000006,94459.13770977074,10000000000
57,94449.69179602215,10000000000
57.1,94440.24682681027,10000000000
57.2,94430.8028021282,10000000000
57.300000000000004,94421.35972186673,10000000000
57.400000000000006,94411.91758588405,10000000000
57.5,94402.4763941421,10000000000
57.6,94393.0361465111,10000000000
57.7,94383.59684288446,10000000000
57.800000000000004,94374.15848318751,10000000000
57.900000000000006,94364.72106734315,10000000000
58,94355.28459524893,10000000000
58.1,94345.8490667741,10000000000
58.2,94336.41448187777,10000000000
58.300000000000004,94326.98084043611,10000000000
58.400000000000006,94317.54814232443,10000000000
58.5,94308.11638752074,10000000000
58.6,94298.68557588266,10000000000
58.7,94289.25570734273,10000000000
58.800000000000004,94279.82678175186,10000000000
58.900000000000006,94270.39879907027,10000000000
59,94260.97175920023,10000000000
59.1,94251.54566203701,10000000000
59.2,94242.1205074706,10000000000
59.300000000000004,94232.6962953912,10000000000
59.400000000000006,94223.2730257617,10000000000
59.5,94213.85069847171,10000000000
59.6,94204.42931341863,10000000000
59.7,94195.0088704818,10000000000
59.800000000000004,94185.58936957728,10000000000
59.900000000000006,94176.17081065952,10000000000
60,94166.75319357701,10000000000
60.1,94157.33651825518,10000000000
60.2,94147.9207845933,10000000000
60.300000000000004,94138.50599252964,10000000000
60.400000000000006,94129.09214190868,10000000000
60.5,94119.67923271454,10000000000
60.6,94110.26726480052,10000000000
60.7,94100.85623804801,10000000000
60.800000000000004,94091.446152446,10000000000
60.900000000000006,94082.03700781084,10000000000
61,94072.62880411955,10000000000
61.1,94063.22154124553,10000000000
61.2,94053.81521907871,10000000000
61.300000000000004,94044.40983756918,10000000000
61.400000000000006,94035.00539659406,10000000000
61.5,94025.60189604555,10000000000
61.6,94016.19933584605,10000000000
61.7,94006.79771590495,10000000000
61.800000000000004,93997.39703615427,10000000000
61.900000000000006,93987.99729644999,10000000000
62,93978.59849670794,10000000000
62.1,93969.20063686355,10000000000
62.2,93959.8037167869,10000000000
62.300000000000004,93950.40773642117,10000000000
62.400000000000006,93941.01269566198,10000000000
62.5,93931.61859439789,10000000000
62.6,93922.22543251715,10000000000
62.7,93912.83320998895,10000000000
62.800000000000004,93903.44192667516,10000000000
62.900000000000006,93894.05158245779,10000000000
63,93884.66217731626,10000000000
63.1,93875.27371108584,10000000000
63.2,93865.88618373018,10000000000
63.300000000000004,93856.49959508813,10000000000
63.400000000000006,93847.1139451292,10000000000
63.5,93837.7292337423,10000000000
63.6,93828.3454608131,10000000000
63.7,93818.96262626139,10000000000
