time(s),avg_energy(J/m^3),avg_photon(m^-3),avg_axion(m^-3),avg_neutrino(m^-3),avg_qgp_fraction
306,8656852.38727535,10000000000,0.009999996929996908,0.8600000000003262,1
307,8652792.669228388,10000000000,0.00999999691999381,0.8600000000003262,1
308,8648734.896909384,10000000000,0.00999999691000413,0.8600000000003262,1
309,8644679.06934278,10000000000,0.009999996900003558,0.8600000000003262,1
310,8640625.185601167,10000000000,0.009999996890000615,0.8600000000003262,1
311,8636573.244720431,10000000000,0.009999996879999622,0.8600000000003262,1
312,8632523.24575594,10000000000,0.009999996869999837,0.8600000000003262,1
313,8628475.187744563,10000000000,0.009999996859996736,0.8600000000003262,1
314,8624429.069755869,10000000000,0.009999996850006427,0.8600000000003262,1
315,8620384.890816554,10000000000,0.009999996840003328,0.8600000000003262,1
316,8616342.649996037,10000000000,0.009999996830003544,0.8600000000003262,1
317,8612302.346344022,10000000000,0.009999996819999605,0.8600000000003262,1
318,8608263.978905585,10000000000,0.009999996809996662,0.8600000000003262,1
319,8604227.546729613,10000000000,0.009999996799996089,0.8600000000003262,1
320,8600193.048882274,10000000000,0.009999996790006412,0.8600000000003262,1
321,8596160.484403823,10000000000,0.00999999678000331,0.8600000000003262,1
322,8592129.852353837,10000000000,0.009999996770002897,0.8600000000003262,1
323,8588101.151785398,10000000000,0.009999996759999796,0.8600000000003262,1
324,8584074.381744387,10000000000,0.009999996749999593,0.8600000000003262,1
325,8580049.541297503,10000000000,0.009999996739999018,0.8600000000003262,1
326,8576026.629507551,10000000000,0.009999996729996075,0.8600000000003262,1
327,8572005.645408904,10000000000,0.00999999672000561,0.8600000000003262,1
328,8567986.588071497,10000000000,0.009999996710005824,0.8600000000003262,1
329,8563969.456543004,10000000000,0.009999996700002725,0.8600000000003262,1
330,8559954.24989938,10000000000,0.009999996689998942,0.8600000000003262,1
331,8555940.967170354,10000000000,0.009999996679995845,0.8600000000003262,1
332,8551929.607445119,10000000000,0.00999999666999606,0.8600000000003262,1
333,8547920.169761905,10000000000,0.00999999666000559,0.8600000000003262,1
334,8543912.65317638,10000000000,0.00999999665000265,0.8600000000003262,1
335,8539907.056764936,10000000000,0.009999996640002076,0.8600000000003262,1
336,8535903.37957991,10000000000,0.009999996630001872,0.8600000000003262,1
337,8531901.620690057,10000000000,0.009999996619998772,0.8600000000003262,1
338,8527901.779142438,10000000000,0.009999996609998358,0.8600000000003262,1
339,8523903.854002168,10000000000,0.009999996599995257,0.8600000000003262,1
340,8519907.84433027,10000000000,0.009999996590005578,0.8600000000003262,1
341,8515913.749204265,10000000000,0.009999996580005005,0.8600000000003262,1
342,8511921.567659616,10000000000,0.009999996570002062,0.8600000000003262,1
343,8507931.298790647,10000000000,0.009999996559998123,0.8600000000003262,1
344,8503942.941641826,10000000000,0.009999996549998339,0.8600000000003262,1
345,8499956.495276656,10000000000,0.00999999653999524,0.8600000000003262,1
346,8495971.95877076,10000000000,0.00999999653000493,0.8600000000003262,1
347,8491989.33117901,10000000000,0.009999996520001829,0.8600000000003262,1
348,8488008.611579243,10000000000,0.009999996510002046,0.8600000000003262,1
349,8484029.79903316,10000000000,0.009999996500001055,0.8600000000003262,1
350,8480052.892600054,10000000000,0.009999996489998112,0.8600000000003262,1
351,8476077.891350541,10000000000,0.00999999647999754,0.8600000000003262,1
352,8472104.794350745,10000000000,0.009999996470007861,0.8600000000003262,1
353,8468133.600678056,10000000000,0.009999996460004762,0.8600000000003262,1
354,8464164.309394522,10000000000,0.009999996450004347,0.8600000000003262,1
355,8460196.91957703,10000000000,0.009999996440001246,0.8600000000003262,1
356,8456231.430269603,10000000000,0.009999996429998097,0.8600000000003262,1
357,8452267.840576142,10000000000,0.009999996419997522,0.8600000000003262,1
